Poprawnych,Poprawionych,Zepsutych,Niewykryte
659,206,51,84
688,194,56,62
634,209,29,128
614,211,59,116
644,214,60,82
652,229,41,78
656,187,61,96
598,241,58,103
637,210,60,93
627,226,36,111
612,214,72,102
681,213,35,71
646,209,44,101
590,236,38,136
614,210,60,116
609,219,41,131
630,228,59,83
655,214,32,99
627,222,62,89
642,213,53,92
623,232,51,94
655,216,55,74
582,221,45,152
627,200,44,129
611,223,49,117
668,192,18,122
703,200,27,70
618,232,42,108
579,218,99,104
668,215,44,73
648,222,46,84
653,223,40,84
636,230,31,103
595,228,48,129
681,201,36,82
656,216,40,88
656,221,38,85
640,212,52,96
681,178,64,77
707,170,49,74
598,221,55,126
613,234,51,102
590,217,54,139
644,199,71,86
629,228,20,123
663,197,29,111
672,227,24,77
665,196,50,89
592,228,67,113
607,231,56,106
711,192,45,52
646,209,37,108
660,194,64,82
682,192,33,93
624,234,47,95
677,204,52,67
643,206,47,104
626,209,38,127
630,207,34,129
641,205,54,100
653,216,76,55
638,231,34,97
719,187,33,61
610,232,31,127
652,203,50,95
621,212,53,114
685,193,43,79
664,204,38,94
658,227,42,73
617,223,51,109
628,231,37,104
710,195,49,46
659,210,55,76
595,222,61,122
635,222,26,117
639,213,64,84
618,226,34,122
640,205,59,96
634,217,61,88
650,201,62,87
612,231,53,104
626,224,33,117
646,208,63,83
609,227,69,95
653,204,60,83
663,210,67,60
678,185,73,64
682,205,46,67
603,222,36,139
638,224,43,95
624,221,37,118
633,232,17,118
651,192,35,122
646,219,74,61
582,229,50,139
631,226,53,90
622,225,44,109
596,232,34,138
654,202,55,89
612,233,44,111
660,209,41,90
624,222,43,111
623,235,45,97
628,214,54,104
619,225,71,85
653,205,40,102
668,226,26,80
675,198,82,45
634,223,41,102
636,230,33,101
688,191,15,106
631,225,70,74
622,228,21,129
673,212,47,68
702,191,38,69
644,203,83,70
634,211,31,124
640,212,47,101
609,216,37,138
645,215,52,88
683,203,32,82
627,227,32,114
573,230,73,124
700,182,32,86
649,223,38,90
592,222,39,147
621,224,73,82
632,219,51,98
643,216,36,105
603,224,65,108
616,228,53,103
665,210,18,107
650,217,63,70
658,195,51,96
685,206,27,82
623,229,50,98
713,164,43,80
624,212,57,107
606,219,70,105
657,193,66,84
643,215,74,68
656,223,26,95
625,218,68,89
665,196,34,105
676,196,27,101
646,226,51,77
658,203,62,77
674,189,43,94
661,207,36,96
633,224,48,95
660,215,58,67
651,221,43,85
676,205,66,53
625,226,50,99
618,220,41,121
648,195,20,137
623,220,58,99
678,198,42,82
591,225,82,102
629,210,49,112
635,214,41,110
657,192,36,115
631,220,61,88
605,233,39,123
647,201,58,94
603,222,50,125
618,217,65,100
633,210,84,73
595,210,60,135
625,229,67,79
610,226,60,104
665,209,42,84
680,204,31,85
602,233,48,117
651,221,23,105
672,202,25,101
648,228,56,68
648,210,52,90
606,218,33,143
592,225,36,147
664,209,43,84
659,210,48,83
606,223,36,135
606,228,69,97
654,210,43,93
609,232,71,88
649,198,36,117
675,210,39,76
637,225,36,102
609,222,62,107
620,217,72,91
605,221,53,121
652,180,29,139
634,223,39,104
631,238,51,80
705,201,41,53
664,214,55,67
648,203,74,75
655,223,36,86
622,232,29,117
647,212,50,91
624,229,32,115
630,236,41,93
687,223,40,50
635,197,53,115
626,227,48,99
630,218,77,75
694,199,35,72
630,216,33,121
612,227,51,110
619,231,48,102
684,178,59,79
652,199,38,111
673,211,24,92
650,207,48,95
637,209,45,109
619,211,43,127
666,229,25,80
577,236,64,123
678,190,34,98
678,196,23,103
600,220,45,135
662,203,30,105
650,209,41,100
626,215,51,108
635,218,50,97
631,214,64,91
640,218,53,89
636,207,62,95
649,212,44,95
678,186,41,95
600,235,74,91
662,209,54,75
580,226,70,124
614,229,68,89
642,215,37,106
623,223,40,114
639,201,44,116
615,238,30,117
661,224,22,93
674,211,37,78
667,216,55,62
628,197,69,106
687,201,47,65
682,200,15,103
640,233,60,67
684,201,28,87
670,204,44,82
669,210,51,70
659,205,34,102
672,212,42,74
648,223,63,66
649,229,35,87
602,232,97,69
648,212,33,107
646,214,55,85
659,203,36,102
585,231,92,92
640,206,30,124
630,213,16,141
666,206,62,66
633,210,49,108
667,190,65,78
628,209,66,97
702,173,64,61
646,205,35,114
