Poprawnych,Poprawionych,Zepsutych,Niewykryte
865,31,240,8
860,32,249,3
858,30,248,8
888,24,227,5
865,26,249,4
854,25,258,7
857,25,256,6
857,27,246,14
860,30,244,10
841,29,263,11
853,38,248,5
860,24,251,9
845,24,272,3
857,25,255,7
864,32,243,5
861,24,248,11
853,32,254,5
878,27,227,12
865,25,247,7
844,25,269,6
856,31,251,6
841,24,267,12
861,28,247,8
852,24,260,8
849,30,258,7
856,26,256,6
845,35,257,7
873,26,238,7
877,24,240,3
850,36,254,4
863,31,242,8
842,30,258,14
873,25,240,6
854,31,255,4
866,27,248,3
865,22,247,10
844,24,267,9
843,31,265,5
878,36,226,4
845,27,266,6
857,26,252,9
874,22,241,7
836,24,271,13
876,23,237,8
874,27,232,11
854,32,249,9
838,28,269,9
857,26,251,10
861,27,246,10
847,29,263,5
861,30,252,1
870,24,243,7
846,24,259,15
870,19,244,11
870,24,239,11
859,27,250,8
853,34,250,7
869,19,251,5
855,26,254,9
844,34,258,8
874,25,241,4
861,29,246,8
852,25,260,7
881,22,233,8
853,33,252,6
869,20,247,8
866,19,250,9
866,26,238,14
884,24,232,4
864,32,243,5
849,23,263,9
847,30,263,4
866,29,242,7
866,34,240,4
840,32,262,10
884,25,219,16
862,31,241,10
860,18,255,11
880,13,242,9
853,26,260,5
873,32,231,8
864,38,238,4
887,23,224,10
879,34,225,6
849,22,268,5
864,32,245,3
861,33,246,4
851,29,253,11
865,22,248,9
860,27,249,8
871,18,244,11
853,25,261,5
850,31,258,5
856,32,247,9
869,28,240,7
867,26,241,10
881,23,232,8
863,18,252,11
861,34,245,4
869,37,230,8
846,22,266,10
851,28,257,8
864,20,253,7
890,13,238,3
863,28,243,10
853,23,260,8
843,35,258,8
868,27,245,4
855,35,247,7
880,15,245,4
864,35,240,5
867,32,238,7
845,41,253,5
863,32,244,5
871,24,239,10
870,28,239,7
861,35,242,6
829,27,282,6
815,33,285,11
859,22,253,10
845,23,271,5
864,28,245,7
862,24,250,8
837,36,266,5
853,25,249,17
877,32,228,7
878,31,228,7
846,24,266,8
854,22,256,12
839,34,265,6
856,23,253,12
841,34,263,6
845,27,264,8
844,24,259,17
855,23,258,8
846,32,257,9
854,27,252,11
865,25,244,10
867,32,242,3
877,19,236,12
850,42,250,2
883,24,231,6
872,30,234,8
844,40,252,8
858,23,261,2
865,30,243,6
863,24,246,11
855,30,255,4
868,24,238,14
858,28,249,9
842,38,259,5
854,25,252,13
850,31,255,8
874,27,239,4
877,27,231,9
885,20,227,12
873,30,234,7
870,27,241,6
868,25,245,6
870,30,239,5
871,27,239,7
842,23,266,13
848,20,261,15
870,22,238,14
868,17,249,10
851,36,252,5
844,34,258,8
865,26,246,7
856,27,253,8
873,28,232,11
851,35,252,6
864,20,250,10
855,27,250,12
865,23,238,18
870,26,238,10
864,36,238,6
866,22,240,16
863,34,244,3
854,29,258,3
860,26,252,6
863,22,249,10
866,35,240,3
888,13,231,12
861,20,252,11
863,23,245,13
852,38,252,2
862,26,248,8
838,41,259,6
851,33,249,11
833,22,280,9
831,25,274,14
824,33,281,6
858,21,258,7
859,27,249,9
885,30,224,5
870,29,240,5
881,30,226,7
880,15,237,12
865,26,248,5
877,22,235,10
880,22,232,10
854,27,253,10
858,19,257,10
872,19,237,16
864,24,252,4
859,30,252,3
855,27,251,11
875,26,235,8
875,17,241,11
862,23,251,8
827,35,275,7
855,29,250,10
857,25,255,7
863,34,243,4
868,31,240,5
853,28,254,9
878,28,235,3
839,30,266,9
854,34,254,2
855,21,260,8
869,29,239,7
873,28,234,9
859,22,251,12
852,28,258,6
877,17,243,7
864,30,241,9
885,24,225,10
875,25,236,8
854,30,248,12
854,33,250,7
860,24,254,6
845,29,259,11
864,30,243,7
867,22,247,8
856,25,257,6
875,16,246,7
857,30,252,5
858,25,251,10
864,27,246,7
838,31,270,5
857,28,243,16
847,32,256,9
850,21,261,12
845,28,267,4
848,28,254,14
850,26,260,8
863,31,241,9
881,26,229,8
880,27,228,9
883,26,226,9
857,27,247,13
851,23,262,8
869,33,233,9
869,27,241,7
837,28,275,4
840,27,270,7
864,24,239,17
864,19,254,7
858,32,245,9
837,31,269,7
837,28,270,9
839,33,268,4
842,32,264,6
886,30,223,5
879,34,228,3
862,25,252,5
865,26,241,12
855,25,259,5
839,35,264,6
858,28,250,8
865,18,256,5
847,25,261,11
861,22,251,10
835,37,265,7
849,25,259,11
863,18,257,6
873,23,237,11
871,23,241,9
854,33,251,6
871,21,246,6
855,31,246,12
868,29,238,9
878,24,233,9
875,26,240,3
858,32,251,3
886,21,225,12
843,26,270,5
838,20,275,11
870,29,237,8
849,28,265,2
849,28,264,3
846,34,258,6
846,30,268,0
854,22,259,9
869,30,235,10
854,38,248,4
842,30,264,8
839,36,265,4
851,23,258,12
863,19,258,4
863,22,250,9
858,24,256,6
858,14,260,12
873,18,246,7
869,25,242,8
844,32,264,4
845,29,263,7
863,28,246,7
871,21,242,10
842,27,273,2
866,30,240,8
862,28,243,11
866,28,241,9
880,21,240,3
878,31,232,3
864,34,242,4
852,25,256,11
877,29,231,7
862,34,238,10
871,21,242,10
853,30,249,12
853,20,262,9
853,26,253,12
853,26,258,7
853,31,252,8
853,30,252,9
867,21,239,17
862,26,249,7
862,31,243,8
881,24,225,14
856,29,256,3
855,36,248,5
868,22,250,4
846,29,265,4
841,25,267,11
877,21,240,6
861,36,246,1
880,20,239,5
869,33,238,4
874,23,238,9
868,25,242,9
847,27,261,9
827,38,276,3
865,28,239,12
869,21,246,8
868,21,242,13
840,30,268,6
877,24,239,4
868,29,237,10
837,36,268,3
865,25,246,8
851,26,259,8
882,34,217,11
860,27,246,11
878,27,235,4
857,41,243,3
869,30,242,3
865,29,247,3
867,29,242,6
862,22,253,7
879,28,224,13
877,28,232,7
849,26,258,11
870,17,242,15
857,27,251,9
858,28,249,9
844,26,267,7
834,25,274,11
845,27,262,10
838,26,270,10
844,34,258,8
854,28,253,9
860,28,249,7
831,38,272,3
849,29,258,8
866,34,237,7
863,33,240,8
857,19,254,14
843,32,261,8
866,30,240,8
848,34,258,4
853,21,260,10
847,38,255,4
859,23,251,11
846,38,253,7
845,21,269,9
838,20,282,4
835,28,274,7
853,21,263,7
840,27,263,14
873,26,242,3
859,26,257,2
847,31,262,4
855,23,258,8
848,29,260,7
835,31,273,5
847,24,261,12
868,34,236,6
874,25,240,5
861,22,255,6
841,28,267,8
828,29,274,13
868,28,239,9
879,28,231,6
874,28,237,5
852,26,259,7
848,27,256,13
885,25,219,15
857,24,251,12
853,30,251,10
849,29,258,8
860,19,256,9
875,20,239,10
845,32,259,8
845,34,257,8
867,32,240,5
865,28,241,10
822,28,286,8
828,21,279,16
852,31,256,5
858,29,251,6
850,29,256,9
851,22,258,13
856,27,254,7
851,30,255,8
828,26,278,12
848,33,261,2
845,23,269,7
863,26,246,9
849,30,259,6
850,31,260,3
857,28,250,9
866,23,249,6
860,28,253,3
852,39,249,4
877,19,238,10
876,21,238,9
863,30,244,7
867,23,247,7
870,23,238,13
865,33,236,10
848,36,253,7
876,22,239,7
844,28,265,7
847,31,259,7
845,29,265,5
850,29,257,8
861,19,254,10
845,30,263,6
848,25,267,4
860,33,244,7
881,13,243,7
850,27,257,10
839,35,265,5
