Poprawnych,Poprawionych,Zepsutych,Niewykryte
910,86,0,4
920,78,0,2
906,91,0,3
912,83,0,5
918,82,0,0
916,78,0,6
912,84,0,4
920,79,0,1
907,90,0,3
912,84,0,4
916,81,0,3
923,76,0,1
911,84,0,5
918,79,0,3
911,85,0,4
914,85,0,1
927,70,0,3
911,88,0,1
919,79,0,2
904,94,0,2
936,62,0,2
904,93,0,3
924,74,0,2
923,74,0,3
922,77,0,1
923,71,0,6
914,85,0,1
916,84,0,0
927,72,0,1
915,82,0,3
918,81,0,1
907,90,0,3
923,75,0,2
909,89,0,2
936,62,0,2
920,78,0,2
924,75,0,1
924,75,0,1
928,72,0,0
920,75,0,5
928,70,0,2
921,79,0,0
904,92,0,4
914,85,0,1
914,82,0,4
896,102,0,2
914,85,0,1
923,75,0,2
914,83,0,3
916,84,0,0
919,79,0,2
917,81,0,2
919,81,0,0
912,88,0,0
909,89,0,2
921,78,0,1
907,90,0,3
913,86,0,1
912,83,0,5
914,83,0,3
931,67,0,2
912,85,0,3
911,87,0,2
917,83,0,0
912,85,0,3
926,70,0,4
923,77,0,0
908,89,0,3
894,103,0,3
922,76,0,2
928,71,0,1
925,72,0,3
897,102,0,1
921,78,0,1
904,90,0,6
917,80,0,3
921,75,0,4
914,85,0,1
931,66,0,3
912,86,0,2
912,86,0,2
900,96,0,4
925,72,0,3
923,77,0,0
915,85,0,0
917,77,0,6
916,82,0,2
924,72,0,4
921,76,0,3
920,77,0,3
917,82,0,1
925,70,0,5
936,63,0,1
917,79,0,4
903,95,0,2
925,74,0,1
908,89,0,3
921,77,0,2
927,70,0,3
899,100,0,1
924,76,0,0
909,87,0,4
918,80,0,2
917,83,0,0
914,83,0,3
917,82,0,1
933,65,0,2
930,69,0,1
921,74,0,5
924,75,0,1
918,81,0,1
905,91,0,4
925,73,0,2
901,97,0,2
916,84,0,0
914,84,0,2
907,89,0,4
909,88,0,3
916,82,0,2
924,76,0,0
912,84,0,4
923,73,0,4
906,94,0,0
916,79,0,5
919,78,0,3
927,71,0,2
923,76,0,1
919,81,0,0
914,80,0,6
938,59,0,3
